Location,Type,Latitude,Longitude,for_the_Disabled
文昌橋下游籃球場旁,一般型,25.09908756,121.5227053,
社子濕地(頭),一般型,25.11300128,121.4905471,
7段頭快樂休息站,一般型,25.09222405,121.498242,
社子濕地(尾),一般型,25.11068136,121.480184,
臨7抽水站,一般型,25.10275209,121.4835869,
自行車越野場,一般型,25.11370471,121.499067,
自行車越野場,一般型,25.11367377,121.4990688,
自行車越野場,無障礙,25.11364829,121.4990706,
貴子坑溪出口,一般型,25.11579412,121.4906379,
淡6敦煌水門,無障礙,25.07702753,121.508318,
洲美里體健區,一般型,25.09780848,121.5104668,
洲美大橋下,一般型,25.0997996,121.4986556,
自行車租借站旁,一般型,25.09731047,121.5089186,
百齡右岸橄欖球場,一般型,25.08407877,121.5159694,
百齡右岸籃球場,無障礙,25.08602849,121.5155991,
百齡右岸壘球場,無障礙,25.09388037,121.513157,
社6抽水站,一般型,25.10110853,121.4962673,
福安碼頭,一般型,25.09603358,121.4937624,
百齡橋下,一般型,25.08795591,121.5120718,
百齡橋下,一般型,25.08797502,121.5120682,
百齡橋下,無障礙,25.08799413,121.5120645,
星光廣場(三角公園),一般型,25.09429992,121.5026691,
東山宮,一般型,25.10961724,121.474358,
社子島頭,無障礙,25.1102108,121.4665541,
社子島頭,一般型,25.1102108,121.4665359,
社子島頭,一般型,25.11020125,121.4665714,
社子大橋下,無障礙,25.11157674,121.4934661,
溜冰場,一般型,25.08567847,121.5127651,
三腳渡龍舟廣場區,一般型,25.08091281,121.5174739,
溜冰場,一般型,25.0856658,121.5127672,
百齡右岸橄欖球場,一般型,25.08409709,121.515964,
百齡右岸籃球場,一般型,25.08600769,121.5156047,
百齡右岸足球場,無障礙,25.08715934,121.5154317,
百齡右岸足球場,一般型,25.089525,121.5151115,
百齡橋下,一般型,25.09022415,121.5148912,
百齡右岸停車場,無障礙,25.08232382,121.5166479,
百齡右岸壘球場,一般型,25.09294981,121.5138261,
百齡右岸壘球場,一般型,25.09389847,121.5131411,
百齡右岸壘球場,一般型,25.09464092,121.5124638,
